uptime,oops,fatal,ssr,retries,rebuilds,pc_irq,pc_resync,pc_state,pc_line,rx_mapped,cmd_open,tx_pkts,rx_pkts,defer_q,defer_sub,defer_keep,defer_wipe_live,guard_hits
1013.89,0,1,1,0,0,228,0,0,0,32,16,4176,4163,129,129,122,0,0
1024.02,0,1,1,0,0,230,0,0,0,32,16,4216,4203,130,130,123,0,0
1034.15,0,1,1,0,0,232,0,0,0,32,16,4256,4243,131,131,124,0,0
1044.28,0,1,1,0,0,234,0,0,0,32,16,4296,4283,132,132,125,0,0
1054.42,0,1,1,0,0,237,0,1,1,32,16,4350,4336,134,134,127,0,0
1064.55,0,1,1,0,0,239,0,1,1,32,16,4416,4403,135,135,128,0,0
1074.69,0,1,1,0,0,242,0,0,0,32,16,4456,4443,136,136,129,0,0
1084.83,0,1,1,0,0,245,0,1,1,32,16,4497,4484,138,138,131,0,0
1094.95,0,1,1,0,0,248,0,0,0,32,16,4539,4526,139,139,132,0,0
1105.09,0,1,1,0,0,251,0,1,1,32,16,4601,4587,141,141,134,0,0
