uptime,oops,fatal,ssr,retries,rebuilds,pc_irq,pc_resync,pc_state,pc_line,rx_mapped,cmd_open,tx_pkts,rx_pkts,defer_q,defer_sub,defer_keep,defer_wipe_live,guard_hits
128.18,0,0,0,0,0,14,0,0,0,32,8,36,24,15,15,13,0,0
138.30,0,0,0,0,0,16,0,0,0,32,8,80,68,18,18,15,0,0
148.43,0,0,0,0,0,18,0,0,0,32,8,120,108,19,19,16,0,0
158.55,0,0,0,0,0,20,0,0,0,32,8,160,148,20,20,17,0,0
168.68,0,0,0,0,0,23,0,1,1,32,8,218,205,22,22,19,0,0
178.82,0,0,0,0,0,25,0,1,1,32,8,284,272,23,23,20,0,0
188.95,0,0,0,0,0,28,0,0,0,32,8,324,312,24,24,21,0,0
199.08,0,0,0,0,0,31,0,1,1,32,8,365,353,26,26,23,0,0
209.22,0,0,0,0,0,32,0,0,0,32,8,408,396,26,26,23,0,0
219.35,0,0,0,0,0,35,0,1,1,32,8,463,450,28,28,25,0,0
229.48,0,0,0,0,0,37,0,1,1,32,8,528,516,29,29,26,0,0
239.62,0,0,0,0,0,40,0,0,0,32,8,572,560,31,31,27,0,0
249.75,0,0,0,0,0,42,0,0,0,32,8,612,600,32,32,28,0,0
259.89,0,0,0,0,0,44,0,0,0,32,8,652,640,33,33,29,0,0
270.02,0,0,0,0,0,49,0,1,1,32,8,713,700,37,37,33,0,0
280.16,0,0,0,0,0,51,0,1,1,32,8,776,764,38,38,34,0,0
290.29,0,0,0,0,0,54,0,0,0,32,8,816,804,39,39,35,0,0
300.43,0,0,0,0,0,56,0,0,0,32,8,860,848,40,40,36,0,0
310.55,0,0,0,0,0,58,0,0,0,32,8,900,888,41,41,37,0,0
320.69,0,0,0,0,0,61,0,1,1,32,8,959,946,43,43,39,0,0
330.82,0,0,0,0,0,63,0,1,1,32,8,1022,1009,44,44,40,0,0
340.96,0,0,0,0,0,66,0,0,0,32,8,1064,1052,45,45,41,0,0
351.09,0,0,0,0,0,68,0,0,0,32,8,1104,1092,46,46,42,0,0
361.22,0,0,0,0,0,70,0,0,0,32,8,1144,1132,47,47,43,0,0
371.35,0,0,0,0,0,73,0,1,1,32,8,1207,1195,49,49,45,0,0
381.49,0,0,0,0,0,75,0,1,1,32,8,1267,1255,50,50,46,0,0
391.62,0,0,0,0,0,78,0,0,0,32,8,1307,1295,51,51,47,0,0
401.76,0,0,0,0,0,80,0,0,0,32,8,1348,1336,52,52,48,0,0
411.89,0,0,0,0,0,82,0,0,0,32,8,1388,1376,53,53,49,0,0
422.03,0,0,0,0,0,85,0,1,1,32,8,1450,1437,55,55,51,0,0
432.16,0,0,0,0,0,87,0,1,1,32,8,1511,1499,56,56,52,0,0
442.29,0,0,0,0,0,90,0,0,0,32,8,1551,1539,57,57,53,0,0
