uptime,oops,fatal,ssr,retries,rebuilds,pc_irq,pc_resync,pc_state,pc_line,rx_mapped,cmd_open,tx_pkts,rx_pkts,defer_q,defer_sub,defer_keep,defer_wipe_live,guard_hits
335.58,0,0,0,0,0,40,0,0,0,32,8,72,52,41,41,33,0,0
345.72,0,0,0,0,0,42,0,0,0,32,8,112,92,42,42,34,0,0
355.85,0,0,0,0,0,43,0,1,1,32,8,154,134,44,44,35,0,0
365.98,0,0,0,0,0,46,0,0,0,32,8,195,174,46,46,37,0,0
376.12,0,0,0,0,0,49,0,1,1,32,8,268,247,47,47,38,0,0
386.25,0,0,0,0,0,51,0,1,1,32,8,316,296,48,48,39,0,0
396.39,0,0,0,0,0,54,0,0,0,32,8,356,336,49,49,40,0,0
406.52,0,0,0,0,0,56,0,0,0,32,8,399,379,51,51,41,0,0
416.65,0,0,0,0,0,59,0,1,1,32,8,460,439,53,53,43,0,0
426.78,0,0,0,0,0,61,0,1,1,32,8,521,501,54,54,44,0,0
436.92,0,0,0,0,0,64,0,0,0,32,8,562,542,55,55,45,0,0
447.05,0,0,0,0,0,66,0,0,0,32,8,602,582,56,56,46,0,0
457.19,0,0,0,0,0,69,0,1,1,32,8,657,636,58,58,48,0,0
467.31,0,0,0,0,0,71,0,1,1,32,8,723,703,59,59,49,0,0
477.45,0,0,0,0,0,74,0,0,0,32,8,763,743,60,60,50,0,0
487.58,0,0,0,0,0,77,0,1,1,32,8,805,784,62,62,52,0,0
497.71,0,0,0,0,0,79,0,1,1,32,8,854,833,64,64,53,0,0
507.84,0,0,0,0,0,81,0,1,1,32,8,926,906,65,65,54,0,0
517.98,0,0,0,0,0,83,0,1,1,32,8,967,947,67,67,55,0,0
528.12,0,0,0,0,0,86,0,0,0,32,8,1007,987,68,68,56,0,0
538.25,0,0,0,0,0,89,0,1,1,32,8,1050,1029,70,70,58,0,0
548.38,0,0,0,0,0,91,0,1,1,32,8,1123,1102,71,71,59,0,0
558.50,0,0,0,0,0,94,0,0,0,32,8,1169,1149,73,73,60,0,0
568.64,0,0,0,0,0,96,0,0,0,32,8,1210,1190,74,74,61,0,0
578.77,0,0,0,0,0,98,0,0,0,32,8,1250,1230,75,75,62,0,0
588.91,0,0,0,0,0,103,0,1,1,32,8,1313,1292,78,78,65,0,0
599.03,0,0,0,0,0,105,0,1,1,32,8,1371,1351,79,79,66,0,0
609.16,0,0,0,0,0,108,0,0,0,32,8,1411,1391,80,80,67,0,0
619.29,0,0,0,0,0,112,0,0,0,32,8,1452,1432,82,82,69,0,0
629.42,0,0,0,0,0,115,0,1,1,32,8,1512,1491,84,84,71,0,0
639.55,0,0,0,0,0,117,0,1,1,32,8,1574,1554,85,85,72,0,0
649.68,0,0,0,0,0,120,0,0,0,32,8,1614,1594,86,86,73,0,0
659.80,0,0,0,0,0,124,0,0,0,32,8,1655,1635,88,88,75,0,0
669.93,0,0,0,0,0,127,0,1,1,32,8,1707,1686,90,90,77,0,0
680.05,0,0,0,0,0,129,0,1,1,32,8,1775,1755,91,91,78,0,0
690.19,0,0,0,0,0,132,0,0,0,32,8,1817,1797,93,93,79,0,0
700.32,0,0,0,0,0,134,0,0,0,32,8,1858,1838,94,94,80,0,0
710.45,0,0,0,0,0,137,0,1,1,32,8,1900,1879,96,96,82,0,0
720.58,0,0,0,0,0,139,0,1,1,32,8,1976,1955,98,98,83,0,0
730.71,0,0,0,0,0,141,0,1,1,32,8,2019,1999,99,99,84,0,0
740.85,0,0,0,0,0,144,0,0,0,32,8,2059,2039,100,100,85,0,0
750.99,0,0,0,0,0,148,0,0,0,32,8,2100,2080,102,102,87,0,0
761.12,0,0,0,0,0,153,0,1,1,32,8,2175,2154,105,105,90,0,0
771.25,0,0,0,0,0,157,0,1,1,32,8,2222,2202,107,107,92,0,0
781.38,0,0,0,0,0,160,0,0,0,32,8,2262,2242,108,108,93,0,0
791.51,0,0,0,0,0,162,0,0,0,32,8,2303,2283,110,110,94,0,0
801.65,0,0,0,0,0,165,0,1,1,32,8,2368,2347,112,112,96,0,0
811.78,0,0,0,0,0,167,0,1,1,32,8,2423,2403,113,113,97,0,0
821.93,0,0,0,0,0,171,0,1,1,32,8,2465,2445,115,115,99,0,0
832.07,0,0,0,0,0,175,0,1,1,32,8,2506,2486,117,117,101,0,0
842.20,0,0,0,0,0,179,0,1,1,32,8,2561,2540,119,119,103,0,0
