uptime,oops,fatal,ssr,retries,rebuilds,pc_irq,pc_resync,pc_state,pc_line,rx_mapped,cmd_open,tx_pkts,rx_pkts,defer_q,defer_sub,defer_keep,defer_wipe_live,guard_hits
56.29,0,0,0,0,0,6,0,0,0,32,8,17,8,0,0,0,0,0
66.41,0,0,0,0,0,10,0,0,0,32,8,67,54,9,9,9,0,0
76.54,0,0,0,0,0,12,0,0,0,32,8,107,94,10,10,10,0,0
86.67,0,0,0,0,0,14,0,0,0,32,8,147,134,11,11,11,0,0
96.80,0,0,0,0,0,17,0,1,1,32,8,208,194,16,16,13,0,0
106.93,0,0,0,0,0,19,0,1,1,32,8,271,258,17,17,14,0,0
117.07,0,0,0,0,0,22,0,0,0,32,8,311,298,18,18,15,0,0
127.21,0,0,0,0,0,24,0,0,0,32,8,355,342,19,19,16,0,0
137.35,0,0,0,0,0,27,0,1,1,32,8,398,384,21,21,18,0,0
147.48,0,0,0,0,0,29,0,1,1,32,8,475,462,22,22,19,0,0
157.60,0,0,0,0,0,31,0,1,1,32,8,518,505,23,23,20,0,0
167.74,0,0,0,0,0,34,0,0,0,32,8,562,549,24,24,21,0,0
177.88,0,0,0,0,0,36,0,0,0,32,8,602,589,25,25,22,0,0
188.01,0,0,0,0,0,39,0,1,1,32,8,670,656,27,27,24,0,0
198.13,0,0,0,0,0,41,0,1,1,32,8,729,716,28,28,25,0,0
208.26,0,0,0,0,0,44,0,0,0,32,8,769,756,29,29,26,0,0
218.39,0,0,0,0,0,46,0,0,0,32,8,809,796,30,30,27,0,0
228.52,0,0,0,0,0,49,0,1,1,32,8,867,853,32,32,29,0,0
238.65,0,0,0,0,0,51,0,1,1,32,8,933,920,33,33,30,0,0
248.78,0,0,0,0,0,54,0,0,0,32,8,973,960,34,34,31,0,0
258.91,0,0,0,0,0,57,0,1,1,32,8,1017,1004,36,36,33,0,0
269.05,0,0,0,0,0,60,0,0,0,32,8,1057,1044,37,37,34,0,0
279.17,0,0,0,0,0,63,0,1,1,32,8,1124,1110,39,39,36,0,0
289.30,0,0,0,0,0,65,0,1,1,32,8,1181,1168,40,40,37,0,0
299.43,0,0,0,0,0,68,0,0,0,32,8,1221,1208,41,41,38,0,0
309.57,0,0,0,0,0,70,0,0,0,32,8,1261,1248,42,42,39,0,0
319.70,0,0,0,0,0,73,0,1,1,32,8,1315,1302,44,44,41,0,0
329.83,0,0,0,0,0,75,0,1,1,32,8,1385,1372,45,45,42,0,0
339.97,0,0,0,0,0,78,0,0,0,32,8,1425,1412,46,46,43,0,0
350.09,0,0,0,0,0,80,0,0,0,32,8,1465,1452,47,47,44,0,0
360.22,0,0,0,0,0,84,0,0,0,32,8,1509,1496,49,49,46,0,0
370.36,0,0,0,0,0,87,0,1,1,32,8,1581,1567,51,51,48,0,0
380.49,0,0,0,0,0,89,0,1,1,32,8,1629,1616,52,52,49,0,0
390.62,0,0,0,0,0,92,0,0,0,32,8,1672,1659,54,54,51,0,0
400.76,0,0,0,0,0,94,0,0,0,32,8,1712,1699,55,55,52,0,0
410.90,0,0,0,0,0,97,0,1,1,32,8,1768,1755,57,57,54,0,0
421.02,0,0,0,0,0,99,0,1,1,32,8,1832,1819,58,58,55,0,0
431.16,0,0,0,0,0,102,0,0,0,32,8,1873,1860,59,59,56,0,0
441.30,0,0,0,0,0,104,0,0,0,32,8,1913,1900,60,60,57,0,0
451.43,0,0,0,0,0,107,0,1,1,32,8,1955,1942,63,63,60,0,0
461.56,0,0,0,0,0,109,0,1,1,32,8,2021,2007,65,65,61,0,0
471.69,0,0,0,0,0,111,0,1,1,32,8,2076,2063,66,66,62,0,0
481.82,0,0,0,0,0,114,0,0,0,32,8,2116,2103,67,67,63,0,0
491.94,0,0,0,0,0,116,0,0,0,32,8,2157,2144,68,68,64,0,0
502.08,0,0,0,0,0,119,0,1,1,32,8,2202,2188,70,70,66,0,0
512.21,0,0,0,0,0,121,0,1,1,32,8,2277,2264,71,71,67,0,0
522.34,0,0,0,0,0,124,0,0,0,32,8,2320,2307,72,72,68,0,0
532.47,0,0,0,0,0,126,0,0,0,32,8,2360,2347,73,73,69,0,0
542.60,0,0,0,0,0,128,0,0,0,32,8,2400,2387,74,74,70,0,0
552.74,0,0,0,0,0,131,0,1,1,32,8,2469,2455,76,76,72,0,0
562.87,0,0,0,0,0,133,0,1,1,32,8,2521,2508,77,77,73,0,0
573.01,0,0,0,0,0,136,0,0,0,32,8,2561,2548,78,78,74,0,0
583.14,0,0,0,0,0,139,0,1,1,32,8,2603,2590,81,81,77,0,0
593.27,0,0,0,0,0,141,0,1,1,32,8,2651,2637,83,83,78,0,0
603.40,0,0,0,0,0,143,0,1,1,32,8,2723,2709,84,84,79,0,0
613.53,0,0,0,0,0,145,0,1,1,32,8,2764,2751,85,85,80,0,0
623.66,0,0,0,0,0,148,0,0,0,32,8,2805,2792,86,86,81,0,0
633.80,0,0,0,0,0,150,0,0,0,32,8,2845,2832,87,87,82,0,0
643.93,0,0,0,0,0,153,0,1,1,32,8,2907,2893,89,89,84,0,0
654.06,0,0,0,0,0,157,0,1,1,32,8,2968,2955,91,91,86,0,0
664.20,0,0,0,0,0,160,0,0,0,32,8,3008,2995,92,92,87,0,0
674.33,0,0,0,0,0,162,0,0,0,32,8,3048,3035,93,93,88,0,0
684.46,0,0,0,0,0,165,0,1,1,32,8,3105,3091,95,95,90,0,0
694.59,0,0,0,0,0,167,0,1,1,32,8,3169,3156,96,96,91,0,0
704.72,0,0,0,0,0,170,0,0,0,32,8,3209,3196,97,97,92,0,0
714.85,0,0,0,0,0,173,0,1,1,32,8,3250,3237,99,99,94,0,0
724.98,0,0,0,0,0,177,0,1,1,32,8,3298,3284,101,101,96,0,0
735.11,0,0,0,0,0,179,0,1,1,32,8,3366,3352,102,102,97,0,0
745.24,0,0,0,0,0,181,0,1,1,32,8,3412,3399,103,103,98,0,0
755.37,0,0,0,0,0,184,0,0,0,32,8,3453,3440,105,105,99,0,0
765.50,0,0,0,0,0,186,0,0,0,32,8,3493,3480,106,106,100,0,0
775.63,0,0,0,0,0,189,0,1,1,32,8,3546,3532,108,108,102,0,0
