[2026-09-09 16:34:45] Starting Phase 5 1,800-Second Soak Test across 900-912s boundary...
[2026-09-09 16:48:33] [T+ 826.9s | Uptime: 1375.3s] Ping: OK (  0.0ms) | RX/TX pkts: 179/281 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 200/201 | status: active | err: NONE
[2026-09-09 16:49:04] [T+ 857.8s | Uptime: 1406.2s] Ping: OK (  0.0ms) | RX/TX pkts: 179/286 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 205/206 | status: active | err: NONE
[2026-09-09 16:49:35] [T+ 888.8s | Uptime: 1437.2s] Ping: OK (  0.0ms) | RX/TX pkts: 179/291 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 210/211 | status: active | err: NONE
[2026-09-09 16:50:06] [T+ 919.9s | Uptime: 1468.3s] Ping: OK (  0.0ms) | RX/TX pkts: 179/296 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 215/216 | status: active | err: NONE
[2026-09-09 16:50:37] [T+ 950.8s | Uptime: 1499.1s] Ping: OK (  0.0ms) | RX/TX pkts: 179/302 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 221/222 | status: active | err: NONE
[2026-09-09 16:51:07] [T+ 981.7s | Uptime: 1530.0s] Ping: OK (  0.0ms) | RX/TX pkts: 179/307 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 226/227 | status: active | err: NONE
[2026-09-09 16:51:38] [T+1012.5s | Uptime: 1560.8s] Ping: OK (  0.0ms) | RX/TX pkts: 179/314 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 232/233 | status: active | err: NONE
[2026-09-09 16:52:09] [T+1043.2s | Uptime: 1591.5s] Ping: OK (  0.0ms) | RX/TX pkts: 179/319 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 237/238 | status: active | err: NONE
[2026-09-09 16:52:40] [T+1074.1s | Uptime: 1622.4s] Ping: OK (  0.0ms) | RX/TX pkts: 179/324 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 242/243 | status: active | err: NONE
[2026-09-09 16:53:11] [T+1104.9s | Uptime: 1653.3s] Ping: OK (  0.0ms) | RX/TX pkts: 179/330 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 248/249 | status: active | err: NONE
[2026-09-09 16:53:42] [T+1135.9s | Uptime: 1684.2s] Ping: OK (  0.0ms) | RX/TX pkts: 179/339 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 253/254 | status: active | err: NONE
[2026-09-09 16:54:13] [T+1166.8s | Uptime: 1715.1s] Ping: OK (  0.0ms) | RX/TX pkts: 179/344 | rx_cb: 194 | cmd_data: 179 | PM susp/res: 258/259 | status: active | err: NONE
